product,rating,rating count,price,product url
"iBUYPOWER SlateMR Gaming PC Computer Desktop SlateMR 2150V2 (Intel Core i5 12400F 2.5 GHz, GeForce GTX 1650 4GB, 8 GB DDR4 RAM, 500 GB NVMe SSD, WiFi Ready, Windows 11 Home)  ",4.4,"3,688  ",769.99,https://amazon.com/iBUYPOWER-SlateMR-Computer-Desktop-GeForce/dp/B0BT4PMNY4/ref=sr_1_22?keywords=pc&qid=1687391139&sr=8-22
"SkyTech Chronos Mini Gaming Computer PC Desktop - Intel Core-i3 10100F 3.6GHz, GTX 1650 4G, 500GB SSD, 8G 3000, RGB Fans, AC WiFi, Windows 10 Home 64-bit  ",4.4,235  ,599.99,https://amazon.com/SkyTech-Chronos-Gaming-Computer-Desktop/dp/B09JBQN8P5/ref=sr_1_23?keywords=pc&qid=1687391139&sr=8-23
"Dell OptiPlex 3040 Small Form Factor PC, Intel Quad Core i5 6500 up to 3.6GHz, 16G DDR3L, 1T, WiFi, BT 4.0, Windows 10 Pro 64-Multi-Language Support English/Spanish/French(Renewed)  ",4.2,104  ,93.76,https://amazon.com/Dell-OptiPlex-3040-Windows-64-Multi-Language/dp/B07TVN5G8N/ref=sr_1_24?keywords=pc&qid=1687391139&sr=8-24
"Skytech Shiva II Gaming PC Desktop – Intel Core i5 12400F 2.5 GHz, NVIDIA RTX 3060, 500GB NVME SSD, 16GB DDR4 RAM 3200, 650W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit,White  ",4.3,39  ,999.99,https://amazon.com/Skytech-Shiva-II-Gaming-Desktop/dp/B0B52WGJRR/ref=sr_1_25?keywords=pc&qid=1687391139&sr=8-25
"Alarco Gaming PC Desktop Computer Intel i7 3.40GHz,16GB Ram,1TB Hard Drive,Windows 10 pro,WiFi Ready,Video Card Nvidia GTX 750 4GB, 6 RGB Fans with Remote  ",3.1,105  ,469.99,https://amazon.com/Alarco-Desktop-Computer-3-40GHz-Windows/dp/B0BFTPRZ1Z/ref=sr_1_26?keywords=pc&qid=1687391139&sr=8-26
"MXZ Gaming Desktop PC Computer I3 13100F,GTX1660S,16G DDR4, NVME 500GB SSD, 6 RBG Fans, Windows 10 Pro Ready to use (I3 13100F| GTX1660S)  ",4.3,18  ,739.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NTI4OTc4NDM1Nzc1ODQ2OjE2ODczOTExMzk6c3BfbXRmOjIwMDE3OTc1NjIwMDA5ODo6MDo6&url=%2FMXZ-Desktop-Computer-GTX1660S-Windows%2Fdp%2FB0C5D3CRV3%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dpc%26qid%3D1687391139%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"MXZ Gaming Desktop Computer, AMD Ryzen 5 5500, RTX 3060 12GB,16GB DDR4, 6RGB Fans, Win 10 Pro Ready, Gamer Desktop Computer(R5 5500| RTX3060)  ",4.1,36  ,899.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NTI4OTc4NDM1Nzc1ODQ2OjE2ODczOTExMzk6c3BfbXRmOjIwMDA5ODgzMzkyNTA5ODo6MDo6&url=%2FMXZ-Gaming-Desktop-Computer-RTX3060%2Fdp%2FB0BGLK22QZ%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dpc%26qid%3D1687391139%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"STGAubron Gaming Desktop PC,Intel Core i7 3.4G up to 3.9G,GeForce RTX 2060 Super 8G GDDR6,32G,1TB SSD,WiFi,BT 5.0,RGB Keybaord,RGB Mouse,RGB Mouse Pad,RGB BT Sound Bar,RGB Bluetooth Headset Mic,W10H64  ",3.5,42  ,594.99,https://amazon.com/STGAubron-Desktop-GeForce-Keybaord-Bluetooth/dp/B0BNBZYR5L/ref=sr_1_29?keywords=pc&qid=1687391139&sr=8-29
"STGAubron Gaming Desktop PC,Intel Core i7 up to 3.9G,GeForce RTX 3060 12G GDDR6,32G,1TB SSD,WiFi,BT 5.0,RGB Fanx6,RGB Keybaord,RGB Mouse,Mouse Pad,RGB Bluetooth Sound Bar,RGB BT Gaming Mic,W10H64  ",3.8,38  ,799.99,https://amazon.com/STGAubron-Desktop-GeForce-Keybaord-Bluetooth/dp/B0BNBYLYGV/ref=sr_1_30?keywords=pc&qid=1687391139&sr=8-30
"Skytech Gaming Archangel Gaming Computer PC Desktop – Intel Core-i5 10400F 2.9GHz, GTX 1660 Super 6G, 500GB SSD, 16GB DDR4 3200MHz, RGB Fans, Windows 10 Home 64-bit, 802.11AC Wi-Fi, White  ",4.4,121  ,1210.54,https://amazon.com/Skytech-Gaming-Archangel-Computer-Desktop/dp/B09JKGXVBT/ref=sr_1_31?keywords=pc&qid=1687391139&sr=8-31
Dell Optiplex 7010 SFF Desktop PC - Intel Core i5-3470 3.2GHz 4GB 250GB DVD Windows 10 Pro (Renewed)  ,3.9,209  ,100.0,https://amazon.com/Dell-Optiplex-7010-SFF-Desktop/dp/B013RG6DE0/ref=sr_1_32?keywords=pc&qid=1687391139&sr=8-32
"HP Elite Desktop PC Computer | Intel Quad-Core i5 | 8GB Ram | 1TB HDD | 24 Inch LCD Monitor (1080p HDMI), RGB Keyboard + Mouse | Desk Speakers | WiFi + Bluetooth | Windows 10 (Renewed)  ",3.8,680  ,209.33,https://amazon.com/HP-Computer-Quad-Core-Keyboard-Bluetooth/dp/B09YXBCXS9/ref=sr_1_33?keywords=pc&qid=1687391139&sr=8-33
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i5-9400F 2.9GHz, NVIDIA GeForce GTX 1660 6GB, 8GB DDR4, 240GB SSD, 1TB HDD, WiFi Ready & Win 10 Home (GXiVR8060A8, Black)  ",4.6,"5,315  ",1217.0,https://amazon.com/CYBERPOWERPC-Xtreme-i5-9400F-GeForce-GXiVR8060A8/dp/B07VGJDKZ4/ref=sr_1_34?keywords=pc&qid=1687391139&sr=8-34
"Dell Optiplex 9020 Ultra Small Desktop Computer PC (Intel Core i5-4570S, 8GB Ram, 256GB Solid State SSD, WiFi, Bluetooth, HDMI Win 10 Pro (Renewed)  ",4.2,224  ,106.69,https://amazon.com/Dell-Optiplex-Computer-i5-4570S-Bluetooth/dp/B08K1XCX5S/ref=sr_1_35?keywords=pc&qid=1687391139&sr=8-35
"Dell OptiPlex 7050 Small Form Factor, Intel Core Quad i7 6700 up to 4.0 GHz, 16G DDR4, 1T SSD, 4K Support, WiFi, BT 4.0, DVDRW, DP, HDMI, Win 10 Pro 64-Multi-Language Support En/Sp/Fr(Renewed)  ",4.0,73  ,189.18,https://amazon.com/Dell-OptiPlex-7050-64-Multi-Language-Support/dp/B081D5WS4Z/ref=sr_1_36?keywords=pc&qid=1687391139&sr=8-36
"HIGOLEPC Mini PC Windows 11 PRO, Intel Celeron J4125 Mini Computer, 8GB DDR4 128GB EMMC Mini Desktop Computer With IPS screen,Small PC Support 4K HDMI Double Display, WiFi 6.0, BT5.2, Gigabit Ethernet  ",3.7,119  ,299.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0NTI4OTc4NDM1Nzc1ODQ2OjE2ODczOTExMzk6c3BfYnRmOjIwMDE2NTg1NDAwNTg5ODo6MDo6&url=%2FHIGOLEPC-PC-PRO-Computer-Ethernet%2Fdp%2FB0BCVXLD5W%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dpc%26qid%3D1687391139%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"YABER V10 5G WiFi Bluetooth Projector, 15000L Full HD Native 1080P Projector 4K Support, 2023 Upgraded 4D/4P Keystone&Zoom, Home Theater&Outdoor Video Projector for Smartphone/TV Stick/PC/PPT/PS5  ",4.4,965  ,279.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0MjkwOTMxOTQ5MDIyNTI5OjE2ODczOTExNDM6c3BfYXRmX25leHQ6MjAwMTcxMDUyODgxNjk4OjowOjo&url=%2FYABER-V10-Bluetooth-Projector-Carrying%2Fdp%2FB096RRP5V7%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dpc%26qid%3D1687391143%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"MXZ Gaming Desktop PC Computer I3 13100F,GTX1660S,16G DDR4, NVME 500GB SSD, 6 RBG Fans, Windows 10 Pro Ready to use (I3 13100F| GTX1660S)  ",4.3,18  ,739.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0MjkwOTMxOTQ5MDIyNTI5OjE2ODczOTExNDM6c3BfYXRmX25leHQ6MjAwMTc5NzU2MjAwMDk4OjowOjo&url=%2FMXZ-Desktop-Computer-GTX1660S-Windows%2Fdp%2FB0C5D3CRV3%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dpc%26qid%3D1687391143%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"HP Elite Desktop PC Computer | Intel Quad-Core i5 | 8GB Ram | 1TB HDD | 24 Inch LCD Monitor (1080p HDMI), RGB Keyboard + Mouse | Desk Speakers | WiFi + Bluetooth | Windows 10 (Renewed)  ",3.8,680  ,209.33,https://amazon.com/HP-Computer-Quad-Core-Keyboard-Bluetooth/dp/B09YXBCXS9/ref=sr_1_35?keywords=pc&qid=1687391143&sr=8-35
"MINISFORUM Neptune HX99G Mini PC Windows 11 Pro AMD Ryzen 9 6900HX 32GB DDR5 1TB SSD AMD Radeon RX 6600M Mini Gaming PC Wi-Fi 6E/BT5.2, 2xHDMI, 2X USB4 Port, 2X Slot PCIe/Sata SSD, 5X USB3.2 Port  ",4.3,185  ,927.2,https://amazon.com/MINISFORUM-Neptune-HX99G-Windows-6900HX/dp/B0BTP4KMX2/ref=sr_1_36?keywords=pc&qid=1687391143&sr=8-36
"Skytech Blaze 3.0 Gaming PC Desktop – Intel Core i5 12400F 2.5 GHz, NVIDIA RTX 3060, 500GB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit  ",4.3,104  ,1099.22,https://amazon.com/Skytech-Blaze-3-0-Gaming-Desktop/dp/B0B52VH28X/ref=sr_1_37?keywords=pc&qid=1687391143&sr=8-37
"Alarco Gaming PC Desktop Computer Intel i7 3.40GHz,16GB Ram,1TB Hard Drive,Windows 10 pro,WiFi Ready,Video Card Nvidia GTX 750 4GB, 6 RGB Fans with Remote  ",3.1,105  ,469.99,https://amazon.com/Alarco-Desktop-Computer-3-40GHz-Windows/dp/B0BFTPRZ1Z/ref=sr_1_38?keywords=pc&qid=1687391143&sr=8-38
"HP EliteDesk 800 G2 Mini Business Desktop PC Intel Quad-Core i5-6500T up to 3.1G,8G DDR4,240G SSD,VGA,DP port,Windows 10 Professional 64 Bit-Multi-Language-English/Spanish (Renewed)  ",4.4,587  ,99.49,https://amazon.com/EliteDesk-800-Mini-Professional-Bit-Multi-Language-English/dp/B07J2TFW5T/ref=sr_1_39?keywords=pc&qid=1687391143&sr=8-39
"Dell RGB Gaming Desktop PC, Intel Quad I5 up to 3.6GHz, GeForce GTX 1660 Super 6G GDDR6, 16GB RAM, 128G SSD + 2TB, DVD, WiFi & Bluetooth, RGB Keyboard & Mouse, Win 10 Pro (Renewed)  ",3.8,60  ,339.99,https://amazon.com/Dell-Desktop-GeForce-Bluetooth-Keyboard/dp/B0BNH3M2F6/ref=sr_1_40?keywords=pc&qid=1687391143&sr=8-40
TRIGKEY Mini PC Ryzen 7 8 Core 16 Thread Micro Computer W11 Desktop 5800H（Up to 4.4GHz） 32G DDR4+1TB NVME SSD Micro PC | 8Core 2000MHz HD Graphics | WiFi-6 | BT 5.2 | Dual HDMI | Type-C | USB 3.2  ,4.3,123  ,509.0,https://amazon.com/TRIGKEY-Mini-PC-Computer-5800H%EF%BC%88Up/dp/B0C493HBLN/ref=sr_1_41?keywords=pc&qid=1687391143&sr=8-41
"MXZ Gaming Desktop Computer, AMD Ryzen 5 5500, RTX 3060 12GB,16GB DDR4, 6RGB Fans, Win 10 Pro Ready, Gamer Desktop Computer(R5 5500| RTX3060)  ",4.1,36  ,899.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0MjkwOTMxOTQ5MDIyNTI5OjE2ODczOTExNDM6c3BfbXRmOjIwMDA5ODgzMzkyNTA5ODo6MDo6&url=%2FMXZ-Gaming-Desktop-Computer-RTX3060%2Fdp%2FB0BGLK22QZ%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dpc%26qid%3D1687391143%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"comica VM30 Shotgun Microphone - Professional Wireless Mic for Camera, Smartphone, and PC with 70/150Hz, 328' Range, Digital/Analog Output- Perfect for Video Recording, Podcasting, and Vlogging  ",4.5,7  ,189.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0MjkwOTMxOTQ5MDIyNTI5OjE2ODczOTExNDM6c3BfbXRmOjIwMDE3NzMxMjc5MTU5ODo6MDo6&url=%2Fcomica-VM30-Shotgun-Microphone-Professional%2Fdp%2FB0C5LG43CS%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dpc%26qid%3D1687391143%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell PC Treasure Box RGB Desktop Computer Intel Quad Core I5 up to 3.6G, 16G, 512G SSD, WiFi & Bluetooth, RGB Gaming PC Keyboard & Mouse, DVD, Windows 10 Pro (Renewed) (Diamond Black)  ",4.3,"3,424  ",159.99,https://amazon.com/Dell-Treasure-Desktop-Computer-Bluetooth/dp/B0BB37DG68/ref=sr_1_45?keywords=pc&qid=1687391143&sr=8-45
Dell Optiplex 7010 SFF Desktop PC - Intel Core i5-3470 3.2GHz 4GB 250GB DVD Windows 10 Pro (Renewed)  ,3.9,209  ,100.0,https://amazon.com/Dell-Optiplex-7010-SFF-Desktop/dp/B013RG6DE0/ref=sr_1_46?keywords=pc&qid=1687391143&sr=8-46
"Skytech Archangel Gaming PC Desktop – AMD Ryzen 5 3600 3.6 GHz, NVIDIA RTX 3060, 1TB NVME SSD, 16GB DDR4 RAM 3200, 600W Gold PSU, 11AC Wi-Fi, Windows 11 Home 64-bit  ",4.4,467  ,939.99,https://amazon.com/Skytech-Archangel-Gaming-PC-Desktop/dp/B0BQXJY6KQ/ref=sr_1_47?keywords=pc&qid=1687391143&sr=8-47
"Dell Gaming Precision 3620 Tower Desktop PC, Intel Quad Core I5-6500 up to 3.6GHz, GeForce RTX 2060 Super 8G GDDR6, 32G DDR4, 256G SSD+3T, RGB Keybaord & Mouse, DVD, WiFi, BT, Win10P64 (Renewed)  ",4.0,17  ,454.99,https://amazon.com/Dell-Precision-Desktop-Keybaord-Win10P64/dp/B0BXYBJRJV/ref=sr_1_48?keywords=pc&qid=1687391143&sr=8-48
